"status"	"family"	"pval"	"qval"	"gene_id"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"
"ENSG00000074800"	"OK"	"negbinomial.size"	4.45454380313253e-194	2.78145764652871e-191	"ENSG00000074800"	"ENO1"	8661	TRUE
"ENSG00000168653"	"OK"	"negbinomial.size"	1.33602488214546e-37	1.0487413603447e-35	"ENSG00000168653"	"NDUFS5"	9144	TRUE
"ENSG00000117450"	"OK"	"negbinomial.size"	1.81210242394278e-128	6.72779756694646e-126	"ENSG00000117450"	"PRDX1"	8426	TRUE
"ENSG00000132780"	"OK"	"negbinomial.size"	1.03247842125006e-64	1.66860659678965e-62	"ENSG00000132780"	"NASP"	7347	TRUE
"ENSG00000162623"	"OK"	"negbinomial.size"	1.6417336675135e-39	1.40077611121944e-37	"ENSG00000162623"	"TYW3"	1034	FALSE
"ENSG00000266472"	"OK"	"negbinomial.size"	1.77569424388569e-53	2.19754160614935e-51	"ENSG00000266472"	"MRPS21"	5894	FALSE
"ENSG00000213190"	"OK"	"negbinomial.size"	1.47843607763713e-36	1.11729166715637e-34	"ENSG00000213190"	"MLLT11"	5174	TRUE
"ENSG00000177954"	"OK"	"negbinomial.size"	0	0	"ENSG00000177954"	"RPS27"	12631	TRUE
"ENSG00000173207"	"OK"	"negbinomial.size"	8.60959348387075e-45	8.63284567065201e-43	"ENSG00000173207"	"CKS1B"	5769	TRUE
"ENSG00000160752"	"OK"	"negbinomial.size"	5.68406749413375e-67	1.01405240476513e-64	"ENSG00000160752"	"FDPS"	5362	TRUE
"ENSG00000163468"	"OK"	"negbinomial.size"	1.21227257643186e-38	9.79587551908499e-37	"ENSG00000163468"	"CCT3"	7248	FALSE
"ENSG00000143320"	"OK"	"negbinomial.size"	4.77030892268269e-121	1.59828618709493e-118	"ENSG00000143320"	"CRABP2"	7031	TRUE
"ENSG00000143256"	"OK"	"negbinomial.size"	7.15214494874947e-38	5.64649512419376e-36	"ENSG00000143256"	"PFDN2"	5621	FALSE
"ENSG00000181218"	"OK"	"negbinomial.size"	2.83600071499579e-95	7.08329851307221e-93	"ENSG00000181218"	"HIST3H2A"	1130	TRUE
"ENSG00000143870"	"OK"	"negbinomial.size"	1.56416329162969e-39	1.34293194606981e-37	"ENSG00000143870"	"PDIA6"	6770	FALSE
"ENSG00000135624"	"OK"	"negbinomial.size"	2.80382976887792e-36	2.08195727216627e-34	"ENSG00000135624"	"CCT7"	5310	FALSE
"ENSG00000034510"	"OK"	"negbinomial.size"	3.66511605303507e-38	2.94430989593817e-36	"ENSG00000034510"	"TMSB10"	12182	TRUE
"ENSG00000155368"	"OK"	"negbinomial.size"	4.07249669716266e-43	3.93971036119179e-41	"ENSG00000155368"	"DBI"	6727	FALSE
"ENSG00000138385"	"OK"	"negbinomial.size"	2.20216970999459e-52	2.67709781470758e-50	"ENSG00000138385"	"SSB"	5789	FALSE
"ENSG00000077380"	"OK"	"negbinomial.size"	1.65745000174615e-70	3.11895762657354e-68	"ENSG00000077380"	"DYNC1I2"	5503	TRUE
"ENSG00000144381"	"OK"	"negbinomial.size"	3.03829524960595e-52	3.62930972555104e-50	"ENSG00000144381"	"HSPD1"	10088	TRUE
"ENSG00000078018"	"OK"	"negbinomial.size"	1.97198923005093e-41	1.80594773688064e-39	"ENSG00000078018"	"MAP2"	2196	TRUE
"ENSG00000187514"	"OK"	"negbinomial.size"	1.63213707748681e-166	8.00738108337011e-164	"ENSG00000187514"	"PTMA"	12594	TRUE
