"status"	"family"	"pval"	"qval"	"gene_id"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"
"ENSG00000074800"	"OK"	"negbinomial.size"	4.45454380313253e-194	2.78145764652871e-191	"ENSG00000074800"	"ENO1"	8661	TRUE
"ENSG00000168653"	"OK"	"negbinomial.size"	1.33602488214546e-37	1.0487413603447e-35	"ENSG00000168653"	"NDUFS5"	9144	TRUE
"ENSG00000117450"	"OK"	"negbinomial.size"	1.81210242394278e-128	6.72779756694646e-126	"ENSG00000117450"	"PRDX1"	8426	TRUE
"ENSG00000132780"	"OK"	"negbinomial.size"	1.03247842125006e-64	1.66860659678965e-62	"ENSG00000132780"	"NASP"	7347	TRUE
"ENSG00000173207"	"OK"	"negbinomial.size"	8.60959348387075e-45	8.63284567065201e-43	"ENSG00000173207"	"CKS1B"	5769	TRUE
"ENSG00000160752"	"OK"	"negbinomial.size"	5.68406749413375e-67	1.01405240476513e-64	"ENSG00000160752"	"FDPS"	5362	TRUE
"ENSG00000163468"	"OK"	"negbinomial.size"	1.21227257643186e-38	9.79587551908499e-37	"ENSG00000163468"	"CCT3"	7248	FALSE
"ENSG00000143320"	"OK"	"negbinomial.size"	4.77030892268269e-121	1.59828618709493e-118	"ENSG00000143320"	"CRABP2"	7031	TRUE
"ENSG00000143256"	"OK"	"negbinomial.size"	7.15214494874947e-38	5.64649512419376e-36	"ENSG00000143256"	"PFDN2"	5621	FALSE
"ENSG00000143870"	"OK"	"negbinomial.size"	1.56416329162969e-39	1.34293194606981e-37	"ENSG00000143870"	"PDIA6"	6770	FALSE
"ENSG00000135624"	"OK"	"negbinomial.size"	2.80382976887792e-36	2.08195727216627e-34	"ENSG00000135624"	"CCT7"	5310	FALSE
"ENSG00000155368"	"OK"	"negbinomial.size"	4.07249669716266e-43	3.93971036119179e-41	"ENSG00000155368"	"DBI"	6727	FALSE
"ENSG00000138385"	"OK"	"negbinomial.size"	2.20216970999459e-52	2.67709781470758e-50	"ENSG00000138385"	"SSB"	5789	FALSE
"ENSG00000144381"	"OK"	"negbinomial.size"	3.03829524960595e-52	3.62930972555104e-50	"ENSG00000144381"	"HSPD1"	10088	TRUE
"ENSG00000187514"	"OK"	"negbinomial.size"	1.63213707748681e-166	8.00738108337011e-164	"ENSG00000187514"	"PTMA"	12594	TRUE
"ENSG00000188846"	"OK"	"negbinomial.size"	5.14517282500912e-49	5.84125942951655e-47	"ENSG00000188846"	"RPL14"	12508	FALSE
"ENSG00000164104"	"OK"	"negbinomial.size"	2.61235462144276e-46	2.78185390967125e-44	"ENSG00000164104"	"HMGB2"	7468	TRUE
"ENSG00000164904"	"OK"	"negbinomial.size"	6.95530908636953e-39	5.65355508399161e-37	"ENSG00000164904"	"ALDH7A1"	1824	FALSE
"ENSG00000181163"	"OK"	"negbinomial.size"	6.33713864382707e-55	8.06048829169004e-53	"ENSG00000181163"	"NPM1"	12253	TRUE
"ENSG00000187837"	"OK"	"negbinomial.size"	1.53941523154869e-42	1.47880748501988e-40	"ENSG00000187837"	"HIST1H1C"	2255	TRUE
"ENSG00000168298"	"OK"	"negbinomial.size"	4.15042767629021e-38	3.3147921505348e-36	"ENSG00000168298"	"HIST1H1E"	2329	TRUE
"ENSG00000204525"	"OK"	"negbinomial.size"	7.80441007641948e-81	1.57660560617315e-78	"ENSG00000204525"	"HLA-C"	2130	TRUE
"ENSG00000234745"	"OK"	"negbinomial.size"	1.47411853149593e-172	7.78844856429217e-170	"ENSG00000234745"	"HLA-B"	3065	TRUE
