"status"	"family"	"pval"	"qval"	"gene_id"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"
"ENSG00000197530"	"OK"	"negbinomial.size"	5.38224319252455e-87	5.02608487756243e-85	"ENSG00000197530"	"MIB2"	1242	FALSE
"ENSG00000116288"	"OK"	"negbinomial.size"	1.55849794014205e-90	1.51134338708134e-88	"ENSG00000116288"	"PARK7"	5649	FALSE
"ENSG00000074800"	"OK"	"negbinomial.size"	1.54224776652459e-42	6.92318225874894e-41	"ENSG00000074800"	"ENO1"	5893	TRUE
"ENSG00000116649"	"OK"	"negbinomial.size"	6.79531891124896e-45	3.26347887267855e-43	"ENSG00000116649"	"SRM"	3822	FALSE
"ENSG00000117318"	"OK"	"negbinomial.size"	2.99433448331578e-224	7.67767662094934e-222	"ENSG00000117318"	"ID3"	6270	TRUE
"ENSG00000131914"	"OK"	"negbinomial.size"	5.10442016355341e-76	4.31394794604671e-74	"ENSG00000131914"	"LIN28A"	8095	FALSE
"ENSG00000198830"	"OK"	"negbinomial.size"	1.3871632867555e-130	2.14132716347318e-128	"ENSG00000198830"	"HMGN2"	7894	FALSE
"ENSG00000090273"	"OK"	"negbinomial.size"	6.81315801007784e-39	2.80080039066461e-37	"ENSG00000090273"	"NUDC"	3452	FALSE
"ENSG00000121766"	"OK"	"negbinomial.size"	5.46537111633265e-41	2.38959925571909e-39	"ENSG00000121766"	"ZCCHC17"	4527	FALSE
"ENSG00000162521"	"OK"	"negbinomial.size"	1.41195342735816e-69	1.10103254892135e-67	"ENSG00000162521"	"RBBP4"	5857	FALSE
"ENSG00000162520"	"OK"	"negbinomial.size"	2.63447982885575e-99	2.86722380222516e-97	"ENSG00000162520"	"SYNC"	3127	TRUE
"ENSG00000168653"	"OK"	"negbinomial.size"	4.23083274548921e-47	2.16229857343787e-45	"ENSG00000168653"	"NDUFS5"	9007	TRUE
"ENSG00000090621"	"OK"	"negbinomial.size"	0	0	"ENSG00000090621"	"PABPC4"	5342	TRUE
"ENSG00000065978"	"OK"	"negbinomial.size"	1.03140055865926e-158	2.02636722745419e-156	"ENSG00000065978"	"YBX1"	8566	TRUE
"ENSG00000117450"	"OK"	"negbinomial.size"	3.06400174010807e-60	2.02411433730808e-58	"ENSG00000117450"	"PRDX1"	7534	TRUE
"ENSG00000132780"	"OK"	"negbinomial.size"	1.16966847123349e-38	4.76947294685182e-37	"ENSG00000132780"	"NASP"	6885	TRUE
"ENSG00000173660"	"OK"	"negbinomial.size"	2.40806346756773e-58	1.55680274091302e-56	"ENSG00000173660"	"UQCRH"	9501	TRUE
"ENSG00000240563"	"OK"	"negbinomial.size"	2.22585004326264e-61	1.48994068382642e-59	"ENSG00000240563"	"L1TD1"	8552	TRUE
"ENSG00000142864"	"OK"	"negbinomial.size"	4.35108903905858e-152	7.74391470386803e-150	"ENSG00000142864"	"SERBP1"	8614	TRUE
"ENSG00000122406"	"OK"	"negbinomial.size"	0	0	"ENSG00000122406"	"RPL5"	9363	TRUE
"ENSG00000215866"	"OK"	"negbinomial.size"	9.04515394821345e-123	1.2908970653639e-120	"ENSG00000215866"	"LINC01356"	3148	TRUE
"ENSG00000116774"	"OK"	"negbinomial.size"	1.69669051859677e-154	3.13018709333316e-152	"ENSG00000116774"	"OLFML3"	4641	TRUE
"ENSG00000265241"	"OK"	"negbinomial.size"	1.46411890098753e-149	2.51695349251584e-147	"ENSG00000265241"	"RBM8A"	7049	FALSE
"ENSG00000143401"	"OK"	"negbinomial.size"	8.11862830130644e-43	3.6662271326019e-41	"ENSG00000143401"	"ANP32E"	5588	FALSE
"ENSG00000197747"	"OK"	"negbinomial.size"	1.11540645890442e-158	2.16331652696232e-156	"ENSG00000197747"	"S100A10"	4314	TRUE
"ENSG00000163191"	"OK"	"negbinomial.size"	3.32344918947594e-265	1.11726976307538e-262	"ENSG00000163191"	"S100A11"	5314	TRUE
"ENSG00000177954"	"OK"	"negbinomial.size"	2.47871250005281e-53	1.45906469652914e-51	"ENSG00000177954"	"RPS27"	9696	TRUE
"ENSG00000143549"	"OK"	"negbinomial.size"	2.79006564144972e-78	2.43977531929777e-76	"ENSG00000143549"	"TPM3"	6201	FALSE
"ENSG00000173207"	"OK"	"negbinomial.size"	5.19495692901564e-101	5.69487742189482e-99	"ENSG00000173207"	"CKS1B"	7038	FALSE
"ENSG00000158874"	"OK"	"negbinomial.size"	1.4943939636443e-59	9.78666315238573e-58	"ENSG00000158874"	"APOA2"	469	TRUE
"ENSG00000183831"	"OK"	"negbinomial.size"	3.87536761948831e-52	2.20400606569997e-50	"ENSG00000183831"	"ANKRD45"	407	TRUE
"ENSG00000171863"	"OK"	"negbinomial.size"	7.45442868487157e-85	6.79340946655043e-83	"ENSG00000171863"	"RPS7"	9684	TRUE
"ENSG00000228474"	"OK"	"negbinomial.size"	3.48006380565902e-73	2.81531578887752e-71	"ENSG00000228474"	"OST4"	8778	TRUE
"ENSG00000218739"	"OK"	"negbinomial.size"	5.03186401839316e-106	5.81084266185127e-104	"ENSG00000218739"	"CEBPZOS"	2992	FALSE
"ENSG00000115816"	"OK"	"negbinomial.size"	1.51708787369829e-61	1.02917064364608e-59	"ENSG00000115816"	"CEBPZ"	6883	FALSE
"ENSG00000115944"	"OK"	"negbinomial.size"	1.2947462984529e-68	9.89238484999774e-67	"ENSG00000115944"	"COX7A2L"	4216	FALSE
"ENSG00000236824"	"OK"	"negbinomial.size"	7.3416801950906e-97	7.82147450643173e-95	"ENSG00000236824"	"BCYRN1"	1698	TRUE
"ENSG00000169764"	"OK"	"negbinomial.size"	7.41883573096985e-58	4.75559944653017e-56	"ENSG00000169764"	"UGP2"	8090	TRUE
"ENSG00000143977"	"OK"	"negbinomial.size"	1.75216573576763e-108	2.08714671265297e-106	"ENSG00000143977"	"SNRPG"	9207	FALSE
"ENSG00000152284"	"OK"	"negbinomial.size"	3.89499330445509e-74	3.21986113168288e-72	"ENSG00000152284"	"TCF7L1"	2260	FALSE
"ENSG00000158417"	"OK"	"negbinomial.size"	1.88071813523537e-51	1.05767672675988e-49	"ENSG00000158417"	"EIF5B"	7638	FALSE
"ENSG00000071082"	"OK"	"negbinomial.size"	1.04622816950862e-91	1.04127235186358e-89	"ENSG00000071082"	"RPL31"	9694	TRUE
"ENSG00000155368"	"OK"	"negbinomial.size"	1.98235941538847e-46	9.93017656821083e-45	"ENSG00000155368"	"DBI"	6525	TRUE
"ENSG00000152082"	"OK"	"negbinomial.size"	1.08399602745316e-72	8.67655656259866e-71	"ENSG00000152082"	"MZT2B"	7296	FALSE
"ENSG00000173272"	"OK"	"negbinomial.size"	1.25881864132518e-35	4.59985710289065e-34	"ENSG00000173272"	"MZT2A"	6319	FALSE
"ENSG00000115233"	"OK"	"negbinomial.size"	4.77307977921031e-109	5.73072626189632e-107	"ENSG00000115233"	"PSMD14"	4678	FALSE
"ENSG00000144381"	"OK"	"negbinomial.size"	6.45192629096492e-65	4.60399721366591e-63	"ENSG00000144381"	"HSPD1"	7720	TRUE
"ENSG00000115541"	"OK"	"negbinomial.size"	3.70736742950222e-38	1.46436173560077e-36	"ENSG00000115541"	"HSPE1"	9285	TRUE
"ENSG00000082153"	"OK"	"negbinomial.size"	5.99204400383445e-36	2.19485815230043e-34	"ENSG00000082153"	"BZW1"	4499	FALSE
"ENSG00000116030"	"OK"	"negbinomial.size"	2.68896579661943e-128	4.10895702739988e-126	"ENSG00000116030"	"SUMO1"	5390	FALSE
"ENSG00000115414"	"OK"	"negbinomial.size"	6.28596413112949e-56	3.91333602369246e-54	"ENSG00000115414"	"FN1"	1932	TRUE
"ENSG00000115461"	"OK"	"negbinomial.size"	6.95690157960554e-47	3.53167809047895e-45	"ENSG00000115461"	"IGFBP5"	526	TRUE
"ENSG00000163466"	"OK"	"negbinomial.size"	2.87612868634205e-37	1.10995088691282e-35	"ENSG00000163466"	"ARPC2"	5873	FALSE
"ENSG00000144580"	"OK"	"negbinomial.size"	2.0983540434416e-39	8.76903314065869e-38	"ENSG00000144580"	"RQCD1"	1725	FALSE
"ENSG00000187514"	"OK"	"negbinomial.size"	2.10362125167398e-111	2.60849035207573e-109	"ENSG00000187514"	"PTMA"	9678	TRUE
"ENSG00000135930"	"OK"	"negbinomial.size"	8.34878630472904e-168	1.73014300298549e-165	"ENSG00000135930"	"EIF4E2"	4568	FALSE
"ENSG00000168393"	"OK"	"negbinomial.size"	4.0305724114155e-46	2.01235971748824e-44	"ENSG00000168393"	"DTYMK"	2692	FALSE
"ENSG00000144713"	"OK"	"negbinomial.size"	1.03989114974727e-122	1.47023115078287e-120	"ENSG00000144713"	"RPL32"	9696	TRUE
"ENSG00000170860"	"OK"	"negbinomial.size"	3.0796864307054e-66	2.2507003054933e-64	"ENSG00000170860"	"LSM3"	8150	FALSE
"ENSG00000174748"	"OK"	"negbinomial.size"	5.18971403396023e-59	3.38405146145475e-57	"ENSG00000174748"	"RPL15"	9689	TRUE
"ENSG00000168028"	"OK"	"negbinomial.size"	0	0	"ENSG00000168028"	"RPSA"	9489	TRUE
"ENSG00000008324"	"OK"	"negbinomial.size"	4.93614063918381e-45	2.40109117651359e-43	"ENSG00000008324"	"SS18L2"	4568	FALSE
"ENSG00000232112"	"OK"	"negbinomial.size"	2.85725332228702e-131	4.45613693397505e-129	"ENSG00000232112"	"TMA7"	9562	TRUE
"ENSG00000162244"	"OK"	"negbinomial.size"	3.21327629283069e-96	3.37572526096824e-94	"ENSG00000162244"	"RPL29"	9647	FALSE
"ENSG00000151276"	"OK"	"negbinomial.size"	9.20494110756107e-54	5.50404541799146e-52	"ENSG00000151276"	"MAGI1"	3276	FALSE
"ENSG00000121570"	"OK"	"negbinomial.size"	1.00987846552347e-124	1.49778837514108e-122	"ENSG00000121570"	"DPPA4"	7423	FALSE
"ENSG00000172020"	"OK"	"negbinomial.size"	7.65603713642359e-47	3.87359631437512e-45	"ENSG00000172020"	"GAP43"	2694	FALSE
"ENSG00000065518"	"OK"	"negbinomial.size"	2.19659086235698e-37	8.49872802192747e-36	"ENSG00000065518"	"NDUFB4"	6867	TRUE
"ENSG00000181449"	"OK"	"negbinomial.size"	1.63423339472013e-45	8.02684506341758e-44	"ENSG00000181449"	"SOX2"	6411	FALSE
"ENSG00000114315"	"OK"	"negbinomial.size"	1.56423790006915e-105	1.76595454867508e-103	"ENSG00000114315"	"HES1"	5228	TRUE
"ENSG00000114503"	"OK"	"negbinomial.size"	1.85480179955312e-35	6.72888288336681e-34	"ENSG00000114503"	"NCBP2"	3946	FALSE
"ENSG00000168214"	"OK"	"negbinomial.size"	7.23857747831203e-59	4.6997939953607e-57	"ENSG00000168214"	"RBPJ"	5567	FALSE
"ENSG00000154277"	"OK"	"negbinomial.size"	3.99784803207467e-53	2.32613250112406e-51	"ENSG00000154277"	"UCHL1"	4935	FALSE
"ENSG00000128050"	"OK"	"negbinomial.size"	2.75472559456738e-42	1.23294345546199e-40	"ENSG00000128050"	"PAICS"	5444	FALSE
"ENSG00000118785"	"OK"	"negbinomial.size"	1.99454493641148e-37	7.73678866616229e-36	"ENSG00000118785"	"SPP1"	837	TRUE
"ENSG00000174720"	"OK"	"negbinomial.size"	1.94425455864029e-43	8.94002521675084e-42	"ENSG00000174720"	"LARP7"	4870	FALSE
"ENSG00000249532"	"OK"	"negbinomial.size"	0	0	"ENSG00000249532"	"RP11-148B6.1"	9483	TRUE
"ENSG00000269893"	"OK"	"negbinomial.size"	8.2064781327389e-125	1.22918417021856e-122	"ENSG00000269893"	"SNHG8"	7147	FALSE
"ENSG00000164096"	"OK"	"negbinomial.size"	2.9785965577987e-54	1.78810352088805e-52	"ENSG00000164096"	"C4orf3"	6826	TRUE
"ENSG00000164056"	"OK"	"negbinomial.size"	3.13094982298791e-37	1.20521651201428e-35	"ENSG00000164056"	"SPRY1"	3076	FALSE
"ENSG00000164134"	"OK"	"negbinomial.size"	5.67012063006529e-156	1.05898252952627e-153	"ENSG00000164134"	"NAA15"	3916	FALSE
"ENSG00000198498"	"OK"	"negbinomial.size"	1.14701224445681e-44	5.43949881948043e-43	"ENSG00000198498"	"TMA16"	4605	FALSE
"ENSG00000151725"	"OK"	"negbinomial.size"	3.55134205237179e-36	1.31356240998241e-34	"ENSG00000151725"	"CENPU"	3520	FALSE
"ENSG00000179059"	"OK"	"negbinomial.size"	1.37320229537664e-67	1.03352260320686e-65	"ENSG00000179059"	"ZFP42"	1316	FALSE
"ENSG00000179046"	"OK"	"negbinomial.size"	1.61908935639842e-52	9.27787264530123e-51	"ENSG00000179046"	"TRIML2"	4662	TRUE
"ENSG00000113407"	"OK"	"negbinomial.size"	2.41294843680808e-105	2.70393214459501e-103	"ENSG00000113407"	"TARS"	6493	FALSE
"ENSG00000145592"	"OK"	"negbinomial.size"	1.11806599255459e-47	5.77273117247983e-46	"ENSG00000145592"	"RPL37"	9694	FALSE
"ENSG00000039123"	"OK"	"negbinomial.size"	3.34500828587055e-45	1.6376467750372e-43	"ENSG00000039123"	"SKIV2L2"	4037	FALSE
"ENSG00000164346"	"OK"	"negbinomial.size"	2.74795019757192e-38	1.09110211519339e-36	"ENSG00000164346"	"NSA2"	6103	FALSE
"ENSG00000038427"	"OK"	"negbinomial.size"	3.22813320572544e-62	2.21978177891884e-60	"ENSG00000038427"	"VCAN"	5563	FALSE
"ENSG00000164904"	"OK"	"negbinomial.size"	1.67880342894052e-40	7.25626807800349e-39	"ENSG00000164904"	"ALDH7A1"	1413	FALSE
"ENSG00000169567"	"OK"	"negbinomial.size"	8.55197216202128e-262	2.75264329504378e-259	"ENSG00000169567"	"HINT1"	9381	TRUE
"ENSG00000170606"	"OK"	"negbinomial.size"	6.92978388470242e-135	1.09201844383102e-132	"ENSG00000170606"	"HSPA4"	4596	TRUE
"ENSG00000156475"	"OK"	"negbinomial.size"	2.07988944719551e-77	1.78775952029396e-75	"ENSG00000156475"	"PPP2R2B"	1509	FALSE
"ENSG00000164265"	"OK"	"negbinomial.size"	3.13849421648639e-39	1.30079837005496e-37	"ENSG00000164265"	"SCGB3A2"	5716	TRUE
"ENSG00000164587"	"OK"	"negbinomial.size"	1.40831043891523e-147	2.39381127189995e-145	"ENSG00000164587"	"RPS14"	9694	TRUE
"ENSG00000113739"	"OK"	"negbinomial.size"	9.740755559995e-52	5.49843843700017e-50	"ENSG00000113739"	"STC2"	1451	FALSE
"ENSG00000048162"	"OK"	"negbinomial.size"	2.86047492708002e-38	1.13280797635776e-36	"ENSG00000048162"	"NOP16"	2605	FALSE
"ENSG00000145912"	"OK"	"negbinomial.size"	2.48748503055985e-38	9.90280882692352e-37	"ENSG00000145912"	"NHP2"	6777	FALSE
"ENSG00000153046"	"OK"	"negbinomial.size"	1.11331912357526e-36	4.17922871003635e-35	"ENSG00000153046"	"CDYL"	3423	FALSE
"ENSG00000214113"	"OK"	"negbinomial.size"	7.59404737194089e-38	2.97623701146948e-36	"ENSG00000214113"	"LYRM4"	3897	FALSE
"ENSG00000096696"	"OK"	"negbinomial.size"	1.23152561950887e-53	7.30608610663926e-52	"ENSG00000096696"	"DSP"	2798	TRUE
"ENSG00000124795"	"OK"	"negbinomial.size"	2.67836068077124e-66	1.96690487275279e-64	"ENSG00000124795"	"DEK"	7604	FALSE
"ENSG00000197061"	"OK"	"negbinomial.size"	4.02605318812074e-118	5.34264321314829e-116	"ENSG00000197061"	"HIST1H4C"	8664	TRUE
"ENSG00000204574"	"OK"	"negbinomial.size"	1.33126936844621e-57	8.46195084279589e-56	"ENSG00000204574"	"ABCF1"	5593	FALSE
"ENSG00000196230"	"OK"	"negbinomial.size"	4.64771988971443e-47	2.36736385493602e-45	"ENSG00000196230"	"TUBB"	7851	TRUE
"ENSG00000204531"	"OK"	"negbinomial.size"	2.40896246708593e-64	1.70293384121851e-62	"ENSG00000204531"	"POU5F1"	7742	TRUE
"ENSG00000213719"	"OK"	"negbinomial.size"	3.11198775126414e-42	1.38873600888271e-40	"ENSG00000213719"	"CLIC1"	3963	FALSE
"ENSG00000204387"	"OK"	"negbinomial.size"	1.26575645895545e-49	6.81436430999221e-48	"ENSG00000204387"	"C6orf48"	7439	TRUE
"ENSG00000137309"	"OK"	"negbinomial.size"	3.98888271789491e-187	9.28366427020217e-185	"ENSG00000137309"	"HMGA1"	7885	TRUE
"ENSG00000124614"	"OK"	"negbinomial.size"	8.78628694921976e-279	3.09113834808829e-276	"ENSG00000124614"	"RPS10"	9644	TRUE
"ENSG00000124562"	"OK"	"negbinomial.size"	4.59713802560247e-96	4.79624165871132e-94	"ENSG00000124562"	"SNRPC"	4941	FALSE
"ENSG00000198755"	"OK"	"negbinomial.size"	9.68770252007352e-171	2.03549394060656e-168	"ENSG00000198755"	"RPL10A"	9683	TRUE
"ENSG00000096384"	"OK"	"negbinomial.size"	3.23395418426217e-154	5.89436854211062e-152	"ENSG00000096384"	"HSP90AB1"	8905	TRUE
"ENSG00000156508"	"OK"	"negbinomial.size"	2.16036441793116e-38	8.69201939214432e-37	"ENSG00000156508"	"EEF1A1"	9687	TRUE
"ENSG00000135336"	"OK"	"negbinomial.size"	6.86190677391437e-38	2.6962837837864e-36	"ENSG00000135336"	"ORC3"	2627	FALSE
"ENSG00000123505"	"OK"	"negbinomial.size"	5.37206509504251e-53	3.10185499075584e-51	"ENSG00000123505"	"AMD1"	5802	FALSE
"ENSG00000186439"	"OK"	"negbinomial.size"	3.03591190137946e-48	1.58369914634719e-46	"ENSG00000186439"	"TRDN"	525	TRUE
