"status"	"family"	"pval"	"qval"	"gene_id"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"
"ENSG00000188290"	"OK"	"negbinomial.size"	3.1739452147358e-46	1.75808408930749e-44	"ENSG00000188290"	"HES4"	6249	TRUE
"ENSG00000187608"	"OK"	"negbinomial.size"	8.01155395325697e-37	3.41784834335065e-35	"ENSG00000187608"	"ISG15"	916	FALSE
"ENSG00000162576"	"OK"	"negbinomial.size"	4.19774435306498e-51	2.65734627548634e-49	"ENSG00000162576"	"MXRA8"	367	TRUE
"ENSG00000074800"	"OK"	"negbinomial.size"	4.30598322820046e-300	2.27504967714576e-297	"ENSG00000074800"	"ENO1"	8661	TRUE
"ENSG00000142669"	"OK"	"negbinomial.size"	7.09725765072228e-40	3.33887083383466e-38	"ENSG00000142669"	"SH3BGRL3"	4267	TRUE
"ENSG00000131914"	"OK"	"negbinomial.size"	8.09671245430197e-46	4.43125653325682e-44	"ENSG00000131914"	"LIN28A"	3010	FALSE
"ENSG00000090273"	"OK"	"negbinomial.size"	1.58700969052223e-55	1.10663716338598e-53	"ENSG00000090273"	"NUDC"	4576	FALSE
"ENSG00000126698"	"OK"	"negbinomial.size"	1.66268360911603e-37	7.25088404394506e-36	"ENSG00000126698"	"DNAJC8"	5094	FALSE
"ENSG00000168653"	"OK"	"negbinomial.size"	9.22039796859001e-62	7.81855598114327e-60	"ENSG00000168653"	"NDUFS5"	9144	TRUE
"ENSG00000117450"	"OK"	"negbinomial.size"	8.21587261364434e-186	2.62468469985192e-183	"ENSG00000117450"	"PRDX1"	8426	TRUE
"ENSG00000132780"	"OK"	"negbinomial.size"	5.01089798029435e-99	7.73423657924758e-97	"ENSG00000132780"	"NASP"	7347	TRUE
"ENSG00000168765"	"OK"	"negbinomial.size"	8.96030827567349e-36	3.62022808185079e-34	"ENSG00000168765"	"GSTM4"	362	FALSE
"ENSG00000173207"	"OK"	"negbinomial.size"	2.39495577882608e-58	1.87997185907051e-56	"ENSG00000173207"	"CKS1B"	5769	TRUE
"ENSG00000160752"	"OK"	"negbinomial.size"	1.08776888071716e-93	1.57291380151702e-91	"ENSG00000160752"	"FDPS"	5362	TRUE
"ENSG00000163468"	"OK"	"negbinomial.size"	3.36003730956694e-66	3.18322982907042e-64	"ENSG00000163468"	"CCT3"	7248	FALSE
"ENSG00000160818"	"OK"	"negbinomial.size"	8.51843554736789e-36	3.45185100631837e-34	"ENSG00000160818"	"GPATCH4"	2632	FALSE
"ENSG00000143320"	"OK"	"negbinomial.size"	2.90434422763384e-183	8.86599481222357e-181	"ENSG00000143320"	"CRABP2"	7031	TRUE
"ENSG00000143256"	"OK"	"negbinomial.size"	1.17406401642703e-43	6.06320202769102e-42	"ENSG00000143256"	"PFDN2"	5621	FALSE
"ENSG00000117592"	"OK"	"negbinomial.size"	1.73342979614692e-46	9.6405364816479e-45	"ENSG00000117592"	"PRDX6"	6800	FALSE
"ENSG00000116161"	"OK"	"negbinomial.size"	1.14666291023182e-35	4.59233480987011e-34	"ENSG00000116161"	"CACYBP"	5658	FALSE
"ENSG00000069275"	"OK"	"negbinomial.size"	5.73755000028208e-43	2.92998975293216e-41	"ENSG00000069275"	"NUCKS1"	8286	TRUE
"ENSG00000143870"	"OK"	"negbinomial.size"	8.82613489988661e-61	7.3481584921056e-59	"ENSG00000143870"	"PDIA6"	6770	FALSE
"ENSG00000135624"	"OK"	"negbinomial.size"	7.2734612870508e-54	4.94631374753549e-52	"ENSG00000135624"	"CCT7"	5310	FALSE
"ENSG00000155368"	"OK"	"negbinomial.size"	1.78748459740201e-50	1.12121807828819e-48	"ENSG00000155368"	"DBI"	6727	FALSE
"ENSG00000138385"	"OK"	"negbinomial.size"	1.67495175549146e-73	1.82609621152272e-71	"ENSG00000138385"	"SSB"	5789	FALSE
"ENSG00000144381"	"OK"	"negbinomial.size"	1.93112413158224e-84	2.41162292686775e-82	"ENSG00000144381"	"HSPD1"	10088	TRUE
"ENSG00000115541"	"OK"	"negbinomial.size"	4.15803341647177e-52	2.65669325777082e-50	"ENSG00000115541"	"HSPE1"	9746	TRUE
"ENSG00000187514"	"OK"	"negbinomial.size"	7.24344122666959e-231	3.20977910099226e-228	"ENSG00000187514"	"PTMA"	12594	TRUE
