"status"	"family"	"pval"	"qval"	"gene_id"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"
"ENSG00000162623"	"OK"	"negbinomial.size"	1.6417336675135e-39	1.40077611121944e-37	"ENSG00000162623"	"TYW3"	1034	FALSE
"ENSG00000266472"	"OK"	"negbinomial.size"	1.77569424388569e-53	2.19754160614935e-51	"ENSG00000266472"	"MRPS21"	5894	FALSE
"ENSG00000213190"	"OK"	"negbinomial.size"	1.47843607763713e-36	1.11729166715637e-34	"ENSG00000213190"	"MLLT11"	5174	TRUE
"ENSG00000177954"	"OK"	"negbinomial.size"	0	0	"ENSG00000177954"	"RPS27"	12631	TRUE
"ENSG00000181218"	"OK"	"negbinomial.size"	2.83600071499579e-95	7.08329851307221e-93	"ENSG00000181218"	"HIST3H2A"	1130	TRUE
"ENSG00000034510"	"OK"	"negbinomial.size"	3.66511605303507e-38	2.94430989593817e-36	"ENSG00000034510"	"TMSB10"	12182	TRUE
"ENSG00000077380"	"OK"	"negbinomial.size"	1.65745000174615e-70	3.11895762657354e-68	"ENSG00000077380"	"DYNC1I2"	5503	TRUE
"ENSG00000078018"	"OK"	"negbinomial.size"	1.97198923005093e-41	1.80594773688064e-39	"ENSG00000078018"	"MAP2"	2196	TRUE
"ENSG00000232112"	"OK"	"negbinomial.size"	8.03917701088315e-55	1.01315756512387e-52	"ENSG00000232112"	"TMA7"	11481	TRUE
"ENSG00000144834"	"OK"	"negbinomial.size"	2.28791670217075e-39	1.94006862578516e-37	"ENSG00000144834"	"TAGLN3"	1801	TRUE
"ENSG00000172020"	"OK"	"negbinomial.size"	3.75387297385163e-89	8.45359885931146e-87	"ENSG00000172020"	"GAP43"	1224	TRUE
"ENSG00000114315"	"OK"	"negbinomial.size"	7.56169925061761e-36	5.55481618212482e-34	"ENSG00000114315"	"HES1"	1558	TRUE
"ENSG00000169020"	"OK"	"negbinomial.size"	2.2672396419121e-57	3.08367039217293e-55	"ENSG00000169020"	"ATP5I"	9187	FALSE
"ENSG00000163682"	"OK"	"negbinomial.size"	1.47677331292444e-45	1.52529586463481e-43	"ENSG00000163682"	"RPL9"	12625	FALSE
"ENSG00000109475"	"OK"	"negbinomial.size"	5.78803432409857e-39	4.73275163750846e-37	"ENSG00000109475"	"RPL34"	12631	TRUE
"ENSG00000176788"	"OK"	"negbinomial.size"	1.01119246488878e-87	2.20488109367892e-85	"ENSG00000176788"	"BASP1"	6168	TRUE
"ENSG00000145741"	"OK"	"negbinomial.size"	2.08640746010663e-148	8.68514523620752e-146	"ENSG00000145741"	"BTF3"	11778	TRUE
"ENSG00000171530"	"OK"	"negbinomial.size"	1.73208935794071e-100	4.57571375192913e-98	"ENSG00000171530"	"TBCA"	10226	TRUE
"ENSG00000175745"	"OK"	"negbinomial.size"	1.56422951876787e-36	1.1741978633505e-34	"ENSG00000175745"	"NR2F1"	6360	TRUE
"ENSG00000137285"	"OK"	"negbinomial.size"	1.29561164570587e-100	3.48976807393364e-98	"ENSG00000137285"	"TUBB2B"	11224	TRUE
"ENSG00000124766"	"OK"	"negbinomial.size"	4.19905347990738e-136	1.64806850438536e-133	"ENSG00000124766"	"SOX4"	7594	TRUE
"ENSG00000197061"	"OK"	"negbinomial.size"	1.57146395548769e-51	1.82942375902833e-49	"ENSG00000197061"	"HIST1H4C"	8288	TRUE
"ENSG00000184357"	"OK"	"negbinomial.size"	2.26661276025266e-46	2.43253589746803e-44	"ENSG00000184357"	"HIST1H1B"	340	FALSE
"ENSG00000231500"	"OK"	"negbinomial.size"	1.35022687171831e-39	1.1665450652072e-37	"ENSG00000231500"	"RPS18"	12631	TRUE
"ENSG00000272398"	"OK"	"negbinomial.size"	5.28127160553741e-44	5.18205914609053e-42	"ENSG00000272398"	"CD24"	9607	TRUE
"ENSG00000112306"	"OK"	"negbinomial.size"	9.69081037169185e-37	7.43702022770564e-35	"ENSG00000112306"	"RPS12"	12630	TRUE
"ENSG00000122565"	"OK"	"negbinomial.size"	2.99991574095789e-70	5.56889763966738e-68	"ENSG00000122565"	"CBX3"	10235	TRUE
"ENSG00000225792"	"OK"	"negbinomial.size"	2.43757732895463e-59	3.5247368176684e-57	"ENSG00000225792"	"AC004540.4"	806	FALSE
"ENSG00000106153"	"OK"	"negbinomial.size"	0	0	"ENSG00000106153"	"CHCHD2"	2970	TRUE
