"status"	"family"	"pval"	"qval"	"gene_id"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"
"ENSG00000233954"	"OK"	"negbinomial.size"	1.50307057744749e-96	1.59010151717661e-94	"ENSG00000233954"	"UQCRHL"	1440	TRUE
"ENSG00000121900"	"OK"	"negbinomial.size"	3.60160373202748e-121	4.99862947322126e-119	"ENSG00000121900"	"TMEM54"	1527	TRUE
"ENSG00000162623"	"OK"	"negbinomial.size"	8.85845450381791e-40	3.74331563502115e-38	"ENSG00000162623"	"TYW3"	1055	TRUE
"ENSG00000197956"	"OK"	"negbinomial.size"	7.97964659630905e-107	9.28585336222794e-105	"ENSG00000197956"	"S100A6"	1205	TRUE
"ENSG00000163463"	"OK"	"negbinomial.size"	2.50654946326623e-58	1.61357788426772e-56	"ENSG00000163463"	"KRTCAP2"	2029	TRUE
"ENSG00000197721"	"OK"	"negbinomial.size"	2.09584068828525e-86	1.94514588542204e-84	"ENSG00000197721"	"CR1L"	613	TRUE
"ENSG00000115738"	"OK"	"negbinomial.size"	4.47482638893996e-116	5.83579082861066e-114	"ENSG00000115738"	"ID2"	3474	TRUE
"ENSG00000204262"	"OK"	"negbinomial.size"	1.14958788967033e-38	4.70026097160346e-37	"ENSG00000204262"	"COL5A2"	551	TRUE
"ENSG00000144426"	"OK"	"negbinomial.size"	0	0	"ENSG00000144426"	"NBEAL1"	8337	TRUE
"ENSG00000269028"	"OK"	"negbinomial.size"	2.10488690545628e-40	9.07200259422865e-39	"ENSG00000269028"	"MTRNR2L12"	2693	TRUE
"ENSG00000163453"	"OK"	"negbinomial.size"	5.82931967895374e-42	2.58609818484493e-40	"ENSG00000163453"	"IGFBP7"	187	TRUE
"ENSG00000087128"	"OK"	"negbinomial.size"	4.60669049214876e-69	3.53756415051911e-67	"ENSG00000087128"	"TMPRSS11E"	469	TRUE
"ENSG00000164120"	"OK"	"negbinomial.size"	7.83488616856878e-113	9.87717982984237e-111	"ENSG00000164120"	"HPGD"	1046	TRUE
"ENSG00000154556"	"OK"	"negbinomial.size"	1.56190948112903e-95	1.60738548506939e-93	"ENSG00000154556"	"SORBS2"	960	TRUE
"ENSG00000250722"	"OK"	"negbinomial.size"	1.67892839244393e-79	1.48531162110478e-77	"ENSG00000250722"	"SEPP1"	3762	TRUE
"ENSG00000170542"	"OK"	"negbinomial.size"	6.18748776886791e-221	1.5600719161239e-218	"ENSG00000170542"	"SERPINB9"	3685	TRUE
