"status"	"family"	"pval"	"qval"	"gene_id"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"
"ENSG00000065978"	"OK"	"negbinomial.size"	2.70480827965891e-38	1.20245797209302e-36	"ENSG00000065978"	"YBX1"	12519	TRUE
"ENSG00000142937"	"OK"	"negbinomial.size"	1.32742483471183e-41	6.55929314907785e-40	"ENSG00000142937"	"RPS8"	12631	TRUE
"ENSG00000162623"	"OK"	"negbinomial.size"	8.44958190681377e-77	9.43674037836592e-75	"ENSG00000162623"	"TYW3"	1034	FALSE
"ENSG00000122406"	"OK"	"negbinomial.size"	2.06573707200762e-47	1.16777901885468e-45	"ENSG00000122406"	"RPL5"	12622	TRUE
"ENSG00000266472"	"OK"	"negbinomial.size"	2.70503825426462e-78	3.09659254156942e-76	"ENSG00000266472"	"MRPS21"	5894	FALSE
"ENSG00000213190"	"OK"	"negbinomial.size"	3.72118635862589e-46	2.04471748033776e-44	"ENSG00000213190"	"MLLT11"	5174	TRUE
"ENSG00000177954"	"OK"	"negbinomial.size"	0	0	"ENSG00000177954"	"RPS27"	12631	TRUE
"ENSG00000163041"	"OK"	"negbinomial.size"	4.74348306822712e-53	3.13275129366519e-51	"ENSG00000163041"	"H3F3A"	12519	TRUE
"ENSG00000181218"	"OK"	"negbinomial.size"	8.24519242230245e-141	2.02257514830658e-138	"ENSG00000181218"	"HIST3H2A"	1130	TRUE
"ENSG00000176887"	"OK"	"negbinomial.size"	5.40500384556155e-59	4.34201975593444e-57	"ENSG00000176887"	"SOX11"	3696	TRUE
"ENSG00000115977"	"OK"	"negbinomial.size"	2.06990094893933e-36	8.59040161195758e-35	"ENSG00000115977"	"AAK1"	1624	FALSE
"ENSG00000034510"	"OK"	"negbinomial.size"	5.5121151739353e-44	2.89007351695989e-42	"ENSG00000034510"	"TMSB10"	12182	TRUE
"ENSG00000153253"	"OK"	"negbinomial.size"	3.10960906225126e-45	1.66862108156819e-43	"ENSG00000153253"	"SCN3A"	397	TRUE
"ENSG00000077380"	"OK"	"negbinomial.size"	5.37300015010703e-102	8.58243058860701e-100	"ENSG00000077380"	"DYNC1I2"	5503	TRUE
"ENSG00000078018"	"OK"	"negbinomial.size"	8.21014188181896e-63	7.32355318380175e-61	"ENSG00000078018"	"MAP2"	2196	TRUE
"ENSG00000197756"	"OK"	"negbinomial.size"	4.26052459699928e-62	3.6579266493112e-60	"ENSG00000197756"	"RPL37A"	12631	TRUE
"ENSG00000188846"	"OK"	"negbinomial.size"	1.66117803633964e-77	1.88591757728906e-75	"ENSG00000188846"	"RPL14"	12508	FALSE
"ENSG00000232112"	"OK"	"negbinomial.size"	2.3711410830479e-93	3.39295469352385e-91	"ENSG00000232112"	"TMA7"	11481	TRUE
"ENSG00000044524"	"OK"	"negbinomial.size"	1.21461276866577e-37	5.31373745323621e-36	"ENSG00000044524"	"EPHA3"	757	FALSE
"ENSG00000121570"	"OK"	"negbinomial.size"	5.64087397089458e-45	3.015123958684e-43	"ENSG00000121570"	"DPPA4"	518	FALSE
"ENSG00000144834"	"OK"	"negbinomial.size"	2.11025897717237e-53	1.40041679079309e-51	"ENSG00000144834"	"TAGLN3"	1801	TRUE
"ENSG00000172020"	"OK"	"negbinomial.size"	1.94317689447303e-113	3.5591227999168e-111	"ENSG00000172020"	"GAP43"	1224	TRUE
"ENSG00000114315"	"OK"	"negbinomial.size"	4.9954523046631e-68	4.90160916493978e-66	"ENSG00000114315"	"HES1"	1558	TRUE
"ENSG00000169020"	"OK"	"negbinomial.size"	4.0839960859652e-104	6.60021814504753e-102	"ENSG00000169020"	"ATP5I"	9187	FALSE
"ENSG00000168824"	"OK"	"negbinomial.size"	3.25203237851796e-37	1.40041281453609e-35	"ENSG00000168824"	"NSG1"	3122	TRUE
"ENSG00000185774"	"OK"	"negbinomial.size"	4.39110950224405e-58	3.38880175462508e-56	"ENSG00000185774"	"KCNIP4"	358	FALSE
"ENSG00000163682"	"OK"	"negbinomial.size"	2.73474707720362e-79	3.15690929407951e-77	"ENSG00000163682"	"RPL9"	12625	FALSE
"ENSG00000109475"	"OK"	"negbinomial.size"	7.1937274300045e-58	5.45968142021944e-56	"ENSG00000109475"	"RPL34"	12631	TRUE
"ENSG00000164104"	"OK"	"negbinomial.size"	1.29461179024036e-48	7.73220963588342e-47	"ENSG00000164104"	"HMGB2"	7468	TRUE
"ENSG00000150625"	"OK"	"negbinomial.size"	4.16062023360955e-50	2.56297937888315e-48	"ENSG00000150625"	"GPM6A"	1215	TRUE
"ENSG00000176788"	"OK"	"negbinomial.size"	3.57507281236119e-130	8.3238602073569e-128	"ENSG00000176788"	"BASP1"	6168	TRUE
"ENSG00000113448"	"OK"	"negbinomial.size"	1.78936036498435e-38	8.00665906638113e-37	"ENSG00000113448"	"PDE4D"	278	FALSE
"ENSG00000145741"	"OK"	"negbinomial.size"	1.18454229056382e-215	4.39785336364193e-213	"ENSG00000145741"	"BTF3"	11778	TRUE
"ENSG00000164346"	"OK"	"negbinomial.size"	1.35112531702974e-35	5.39546758140626e-34	"ENSG00000164346"	"NSA2"	7319	FALSE
"ENSG00000171530"	"OK"	"negbinomial.size"	4.10448100009308e-141	1.04413436107923e-138	"ENSG00000171530"	"TBCA"	10226	TRUE
"ENSG00000186468"	"OK"	"negbinomial.size"	2.0456323120648e-38	9.12365294507603e-37	"ENSG00000186468"	"RPS23"	12631	TRUE
"ENSG00000237187"	"OK"	"negbinomial.size"	1.24351255987034e-40	5.97277343878981e-39	"ENSG00000237187"	"NR2F1-AS1"	1808	FALSE
"ENSG00000175745"	"OK"	"negbinomial.size"	1.08787966790018e-69	1.09883845573123e-67	"ENSG00000175745"	"NR2F1"	6360	TRUE
"ENSG00000134986"	"OK"	"negbinomial.size"	5.80723918374679e-57	4.26599169342939e-55	"ENSG00000134986"	"NREP"	6453	TRUE
"ENSG00000181163"	"OK"	"negbinomial.size"	2.01158129027913e-89	2.65702809466966e-87	"ENSG00000181163"	"NPM1"	12253	TRUE
"ENSG00000137285"	"OK"	"negbinomial.size"	2.90283581148355e-105	4.80436813763247e-103	"ENSG00000137285"	"TUBB2B"	11224	TRUE
"ENSG00000124766"	"OK"	"negbinomial.size"	6.27979858000786e-163	1.760522308032e-160	"ENSG00000124766"	"SOX4"	7594	TRUE
"ENSG00000184357"	"OK"	"negbinomial.size"	2.61481472530532e-120	5.36115072858495e-118	"ENSG00000184357"	"HIST1H1B"	340	FALSE
"ENSG00000269293"	"OK"	"negbinomial.size"	8.21472049648742e-40	3.85138619318251e-38	"ENSG00000269293"	"ZSCAN16-AS1"	1838	FALSE
"ENSG00000272540"	"OK"	"negbinomial.size"	2.6219094734709e-48	1.51971183278775e-46	"ENSG00000272540"	"XXbac-BPG252P9.9"	238	FALSE
"ENSG00000231500"	"OK"	"negbinomial.size"	1.66085757469375e-58	1.31121841974529e-56	"ENSG00000231500"	"RPS18"	12631	TRUE
"ENSG00000156508"	"OK"	"negbinomial.size"	3.72394000117931e-44	1.9751260152973e-42	"ENSG00000156508"	"EEF1A1"	12631	TRUE
"ENSG00000272398"	"OK"	"negbinomial.size"	2.78556280023709e-56	2.00341760140612e-54	"ENSG00000272398"	"CD24"	9607	TRUE
"ENSG00000123505"	"OK"	"negbinomial.size"	5.80558854194051e-43	2.95375443706062e-41	"ENSG00000123505"	"AMD1"	3974	FALSE
"ENSG00000112306"	"OK"	"negbinomial.size"	3.33980065638218e-60	2.73088342956679e-58	"ENSG00000112306"	"RPS12"	12630	TRUE
"ENSG00000122565"	"OK"	"negbinomial.size"	2.58141597397567e-109	4.37789027586466e-107	"ENSG00000122565"	"CBX3"	10235	TRUE
"ENSG00000225792"	"OK"	"negbinomial.size"	6.58500656132973e-92	9.2304321564272e-90	"ENSG00000225792"	"AC004540.4"	806	FALSE
"ENSG00000106153"	"OK"	"negbinomial.size"	0	0	"ENSG00000106153"	"CHCHD2"	2970	TRUE
"ENSG00000106278"	"OK"	"negbinomial.size"	5.4556740092561e-57	4.02927924006188e-55	"ENSG00000106278"	"PTPRZ1"	4171	FALSE
"ENSG00000279483"	"OK"	"negbinomial.size"	2.28182414687294e-45	1.23407158683439e-43	"ENSG00000279483"	"AC090498.1"	1859	FALSE
"ENSG00000155093"	"OK"	"negbinomial.size"	1.41837570817998e-41	6.98359394382382e-40	"ENSG00000155093"	"PTPRN2"	2208	FALSE
"ENSG00000183943"	"OK"	"negbinomial.size"	4.7140373923374e-37	2.02364786432934e-35	"ENSG00000183943"	"PRKX"	1519	FALSE
"ENSG00000205663"	"OK"	"negbinomial.size"	2.05296569544404e-48	1.21036865915514e-46	"ENSG00000205663"	"RP11-706O15.5"	136	FALSE
"ENSG00000205542"	"OK"	"negbinomial.size"	0	0	"ENSG00000205542"	"TMSB4X"	12575	TRUE
"ENSG00000046653"	"OK"	"negbinomial.size"	5.07857705601463e-197	1.78883110303777e-194	"ENSG00000046653"	"GPM6B"	3958	FALSE
"ENSG00000182287"	"OK"	"negbinomial.size"	1.4154130703834e-271	6.70466529236439e-269	"ENSG00000182287"	"AP1S2"	4084	TRUE
"ENSG00000102054"	"OK"	"negbinomial.size"	6.05665600935025e-49	3.68142847789577e-47	"ENSG00000102054"	"RBBP7"	3690	FALSE
"ENSG00000173674"	"OK"	"negbinomial.size"	2.17057223972796e-189	7.0993216326531e-187	"ENSG00000173674"	"EIF1AX"	7201	FALSE
"ENSG00000102172"	"OK"	"negbinomial.size"	5.30611968961217e-302	2.9156066470481e-299	"ENSG00000102172"	"SMS"	7011	TRUE
"ENSG00000130741"	"OK"	"negbinomial.size"	1.02794531773368e-118	2.04650504778371e-116	"ENSG00000130741"	"EIF2S3"	3657	FALSE
"ENSG00000101868"	"OK"	"negbinomial.size"	2.04909191447001e-36	8.52981079668926e-35	"ENSG00000101868"	"POLA1"	1215	FALSE
"ENSG00000198947"	"OK"	"negbinomial.size"	2.71181761051797e-50	1.69328356889479e-48	"ENSG00000198947"	"DMD"	351	FALSE
