"status"	"family"	"pval"	"qval"	"gene_id"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"
"ENSG00000177954"	"OK"	"negbinomial.size"	2.06327891160198e-174	3.14925137874182e-171	"ENSG00000177954"	"RPS27"	12631	TRUE
"ENSG00000187514"	"OK"	"negbinomial.size"	3.31951782178088e-46	1.26667267549455e-43	"ENSG00000187514"	"PTMA"	12594	TRUE
"ENSG00000145741"	"OK"	"negbinomial.size"	4.62123760906525e-37	1.47632421013324e-34	"ENSG00000145741"	"BTF3"	11778	TRUE
"ENSG00000106153"	"OK"	"negbinomial.size"	0	0	"ENSG00000106153"	"CHCHD2"	2970	TRUE
"ENSG00000205542"	"OK"	"negbinomial.size"	0	0	"ENSG00000205542"	"TMSB4X"	12575	TRUE
"ENSG00000046653"	"OK"	"negbinomial.size"	1.88314735078972e-48	7.60846916405835e-46	"ENSG00000046653"	"GPM6B"	3958	FALSE
"ENSG00000182287"	"OK"	"negbinomial.size"	1.20269947631824e-57	5.90052953792275e-55	"ENSG00000182287"	"AP1S2"	4084	TRUE
"ENSG00000173674"	"OK"	"negbinomial.size"	3.02290618585528e-50	1.33953749274497e-47	"ENSG00000173674"	"EIF1AX"	7201	FALSE
"ENSG00000102172"	"OK"	"negbinomial.size"	1.52954174768462e-63	8.40452599517746e-61	"ENSG00000102172"	"SMS"	7011	TRUE
"ENSG00000198034"	"OK"	"negbinomial.size"	0	0	"ENSG00000198034"	"RPS4X"	12619	TRUE
"ENSG00000147180"	"OK"	"negbinomial.size"	2.38455207663131e-42	8.39912612222675e-40	"ENSG00000147180"	"ZNF711"	2072	TRUE
"ENSG00000180964"	"OK"	"negbinomial.size"	5.51997530605854e-77	3.99094214628033e-74	"ENSG00000180964"	"TCEAL8"	5166	TRUE
"ENSG00000185222"	"OK"	"negbinomial.size"	6.69784406584222e-95	6.57202028089105e-92	"ENSG00000185222"	"WBP5"	5461	TRUE
"ENSG00000166681"	"OK"	"negbinomial.size"	1.20345202927769e-223	2.36168864659823e-220	"ENSG00000166681"	"NGFRAP1"	10459	TRUE
"ENSG00000077279"	"OK"	"negbinomial.size"	3.10627195422648e-69	1.85525468848735e-66	"ENSG00000077279"	"DCX"	1946	TRUE
"ENSG00000147274"	"OK"	"negbinomial.size"	5.59453637447133e-87	4.80325913600704e-84	"ENSG00000147274"	"RBMX"	11925	TRUE
"ENSG00000177600"	"OK"	"negbinomial.size"	1.12260129473284e-96	1.18624415274962e-93	"ENSG00000177600"	"RPLP2"	12624	TRUE
"ENSG00000251562"	"OK"	"negbinomial.size"	0	0	"ENSG00000251562"	"MALAT1"	12618	TRUE
"ENSG00000182667"	"OK"	"negbinomial.size"	1.14844366511919e-81	9.28010036926015e-79	"ENSG00000182667"	"NTM"	3569	TRUE
"ENSG00000089009"	"OK"	"negbinomial.size"	4.40394727610109e-128	6.04970237318006e-125	"ENSG00000089009"	"RPL6"	12623	TRUE
"ENSG00000213741"	"OK"	"negbinomial.size"	5.64652473599241e-230	1.29277183830546e-226	"ENSG00000213741"	"RPS29"	12597	TRUE
"ENSG00000255198"	"OK"	"negbinomial.size"	6.94789526896812e-43	2.51166413973197e-40	"ENSG00000255198"	"SNHG9"	2660	FALSE
"ENSG00000167526"	"OK"	"negbinomial.size"	1.0709531389319e-51	4.90389442316916e-49	"ENSG00000167526"	"RPL13"	12629	TRUE
"ENSG00000161970"	"OK"	"negbinomial.size"	3.41434989959025e-52	1.61734222657487e-49	"ENSG00000161970"	"RPL26"	12629	TRUE
"ENSG00000266402"	"OK"	"negbinomial.size"	7.50068076669401e-127	9.36698651746142e-124	"ENSG00000266402"	"SNHG25"	11294	TRUE
"ENSG00000184009"	"OK"	"negbinomial.size"	2.47120487875441e-94	2.26312942796329e-91	"ENSG00000184009"	"ACTG1"	12345	TRUE
"ENSG00000100316"	"OK"	"negbinomial.size"	1.23704573753926e-66	7.08054054024033e-64	"ENSG00000100316"	"RPL3"	12623	TRUE
"ENSG00000212907"	"OK"	"negbinomial.size"	4.08941981725531e-60	2.16062923190908e-57	"ENSG00000212907"	"MT-ND4L"	6697	TRUE
