"status"	"family"	"pval"	"qval"	"gene_id"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"
"ENSG00000074800"	"OK"	"negbinomial.size"	5.99076242446021e-59	3.04796679351148e-56	"ENSG00000074800"	"ENO1"	8661	TRUE
"ENSG00000177954"	"OK"	"negbinomial.size"	2.06327891160198e-174	3.14925137874182e-171	"ENSG00000177954"	"RPS27"	12631	TRUE
"ENSG00000187514"	"OK"	"negbinomial.size"	3.31951782178088e-46	1.26667267549455e-43	"ENSG00000187514"	"PTMA"	12594	TRUE
"ENSG00000145741"	"OK"	"negbinomial.size"	4.62123760906525e-37	1.47632421013324e-34	"ENSG00000145741"	"BTF3"	11778	TRUE
"ENSG00000234745"	"OK"	"negbinomial.size"	4.2214466015858e-46	1.56729762070227e-43	"ENSG00000234745"	"HLA-B"	3065	TRUE
"ENSG00000213719"	"OK"	"negbinomial.size"	2.72625483900491e-38	9.13428359107572e-36	"ENSG00000213719"	"CLIC1"	2583	TRUE
"ENSG00000137309"	"OK"	"negbinomial.size"	9.24293151071971e-41	3.17425375406891e-38	"ENSG00000137309"	"HMGA1"	10823	TRUE
"ENSG00000120437"	"OK"	"negbinomial.size"	6.93250159551371e-49	2.97599295054912e-46	"ENSG00000120437"	"ACAT2"	6307	TRUE
"ENSG00000106153"	"OK"	"negbinomial.size"	0	0	"ENSG00000106153"	"CHCHD2"	2970	TRUE
"ENSG00000205542"	"OK"	"negbinomial.size"	0	0	"ENSG00000205542"	"TMSB4X"	12575	TRUE
"ENSG00000046653"	"OK"	"negbinomial.size"	1.88314735078972e-48	7.60846916405835e-46	"ENSG00000046653"	"GPM6B"	3958	FALSE
"ENSG00000182287"	"OK"	"negbinomial.size"	1.20269947631824e-57	5.90052953792275e-55	"ENSG00000182287"	"AP1S2"	4084	TRUE
"ENSG00000173674"	"OK"	"negbinomial.size"	3.02290618585528e-50	1.33953749274497e-47	"ENSG00000173674"	"EIF1AX"	7201	FALSE
"ENSG00000102172"	"OK"	"negbinomial.size"	1.52954174768462e-63	8.40452599517746e-61	"ENSG00000102172"	"SMS"	7011	TRUE
