"status"	"family"	"pval"	"qval"	"gene_id"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"
"ENSG00000074800"	"OK"	"negbinomial.size"	5.99076242446021e-59	3.04796679351148e-56	"ENSG00000074800"	"ENO1"	8661	TRUE
"ENSG00000234745"	"OK"	"negbinomial.size"	4.2214466015858e-46	1.56729762070227e-43	"ENSG00000234745"	"HLA-B"	3065	TRUE
"ENSG00000213719"	"OK"	"negbinomial.size"	2.72625483900491e-38	9.13428359107572e-36	"ENSG00000213719"	"CLIC1"	2583	TRUE
"ENSG00000137309"	"OK"	"negbinomial.size"	9.24293151071971e-41	3.17425375406891e-38	"ENSG00000137309"	"HMGA1"	10823	TRUE
"ENSG00000120437"	"OK"	"negbinomial.size"	6.93250159551371e-49	2.97599295054912e-46	"ENSG00000120437"	"ACAT2"	6307	TRUE
"ENSG00000134333"	"OK"	"negbinomial.size"	8.5255397366005e-78	6.50640774231561e-75	"ENSG00000134333"	"LDHA"	3401	TRUE
"ENSG00000110492"	"OK"	"negbinomial.size"	7.94646765568766e-47	3.1188750338909e-44	"ENSG00000110492"	"MDK"	11065	TRUE
"ENSG00000111669"	"OK"	"negbinomial.size"	2.06691267586512e-37	6.760280816276e-35	"ENSG00000111669"	"TPI1"	9142	TRUE
"ENSG00000080824"	"OK"	"negbinomial.size"	9.31957985160804e-98	1.06685890351283e-94	"ENSG00000080824"	"HSP90AA1"	11399	TRUE
"ENSG00000166165"	"OK"	"negbinomial.size"	1.29729103134478e-69	8.10040313526512e-67	"ENSG00000166165"	"CKB"	11425	TRUE
"ENSG00000182718"	"OK"	"negbinomial.size"	1.77492017978588e-73	1.21910392548593e-70	"ENSG00000182718"	"ANXA2"	1884	TRUE
"ENSG00000137818"	"OK"	"negbinomial.size"	1.27336744536726e-189	2.18653107462625e-186	"ENSG00000137818"	"RPLP1"	12629	TRUE
"ENSG00000103485"	"OK"	"negbinomial.size"	1.45310802228897e-48	6.0488923946011e-46	"ENSG00000103485"	"QPRT"	2881	TRUE
"ENSG00000129824"	"OK"	"negbinomial.size"	0	0	"ENSG00000129824"	"RPS4Y1"	3892	TRUE
"ENSG00000198692"	"OK"	"negbinomial.size"	8.5441366394474e-71	5.58908595314709e-68	"ENSG00000198692"	"EIF1AY"	1979	TRUE
