"status"	"family"	"pval"	"qval"	"gene_id"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"
"ENSG00000074800"	"OK"	"negbinomial.size"	1.35812151129921e-43	5.33043291449064e-41	"ENSG00000074800"	"ENO1"	8661	TRUE
"ENSG00000234745"	"OK"	"negbinomial.size"	4.37765378030923e-67	3.16504368316358e-64	"ENSG00000234745"	"HLA-B"	3065	TRUE
"ENSG00000213719"	"OK"	"negbinomial.size"	1.63827638219283e-36	5.35833396718639e-34	"ENSG00000213719"	"CLIC1"	2583	TRUE
"ENSG00000137309"	"OK"	"negbinomial.size"	4.13619420485241e-41	1.42047249480144e-38	"ENSG00000137309"	"HMGA1"	10823	TRUE
"ENSG00000120437"	"OK"	"negbinomial.size"	4.73284291949469e-42	1.71092271539733e-39	"ENSG00000120437"	"ACAT2"	6307	TRUE
"ENSG00000134333"	"OK"	"negbinomial.size"	4.25497563252498e-66	2.78336191733312e-63	"ENSG00000134333"	"LDHA"	3401	TRUE
"ENSG00000110492"	"OK"	"negbinomial.size"	1.1266569656467e-43	4.55202551090844e-41	"ENSG00000110492"	"MDK"	11065	TRUE
"ENSG00000080824"	"OK"	"negbinomial.size"	1.11791475537785e-113	1.2797329162188e-110	"ENSG00000080824"	"HSP90AA1"	11399	TRUE
"ENSG00000166165"	"OK"	"negbinomial.size"	1.15845056385164e-80	9.94602212226872e-78	"ENSG00000166165"	"CKB"	11425	TRUE
"ENSG00000182718"	"OK"	"negbinomial.size"	4.73980581168741e-64	2.83090054065869e-61	"ENSG00000182718"	"ANXA2"	1884	TRUE
"ENSG00000137818"	"OK"	"negbinomial.size"	4.0637661253631e-156	6.97799440801412e-153	"ENSG00000137818"	"RPLP1"	12629	TRUE
"ENSG00000103485"	"OK"	"negbinomial.size"	6.94686784449795e-45	2.89179162363237e-42	"ENSG00000103485"	"QPRT"	2881	TRUE
"ENSG00000129824"	"OK"	"negbinomial.size"	1.35240874390296e-307	3.71560778299899e-304	"ENSG00000129824"	"RPS4Y1"	3892	TRUE
"ENSG00000198692"	"OK"	"negbinomial.size"	7.76664805401864e-67	5.33452221590271e-64	"ENSG00000198692"	"EIF1AY"	1979	TRUE
