"status"	"family"	"pval"	"qval"	"gene_id"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"
"ENSG00000074800"	"OK"	"negbinomial.size"	1.35812151129921e-43	5.33043291449064e-41	"ENSG00000074800"	"ENO1"	8661	TRUE
"ENSG00000177954"	"OK"	"negbinomial.size"	2.64604611590045e-131	3.63487354941245e-128	"ENSG00000177954"	"RPS27"	12631	TRUE
"ENSG00000184357"	"OK"	"negbinomial.size"	6.70133524673584e-42	2.36041646883103e-39	"ENSG00000184357"	"HIST1H1B"	340	FALSE
"ENSG00000234745"	"OK"	"negbinomial.size"	4.37765378030923e-67	3.16504368316358e-64	"ENSG00000234745"	"HLA-B"	3065	TRUE
"ENSG00000213719"	"OK"	"negbinomial.size"	1.63827638219283e-36	5.35833396718639e-34	"ENSG00000213719"	"CLIC1"	2583	TRUE
"ENSG00000137309"	"OK"	"negbinomial.size"	4.13619420485241e-41	1.42047249480144e-38	"ENSG00000137309"	"HMGA1"	10823	TRUE
"ENSG00000120437"	"OK"	"negbinomial.size"	4.73284291949469e-42	1.71092271539733e-39	"ENSG00000120437"	"ACAT2"	6307	TRUE
"ENSG00000106153"	"OK"	"negbinomial.size"	0	0	"ENSG00000106153"	"CHCHD2"	2970	TRUE
"ENSG00000205542"	"OK"	"negbinomial.size"	0	0	"ENSG00000205542"	"TMSB4X"	12575	TRUE
"ENSG00000046653"	"OK"	"negbinomial.size"	2.62447399281488e-46	1.16298062062252e-43	"ENSG00000046653"	"GPM6B"	3958	FALSE
"ENSG00000182287"	"OK"	"negbinomial.size"	9.74145608824191e-52	4.77922793872068e-49	"ENSG00000182287"	"AP1S2"	4084	TRUE
"ENSG00000102172"	"OK"	"negbinomial.size"	6.6630797573544e-63	3.6612290650711e-60	"ENSG00000102172"	"SMS"	7011	TRUE
"ENSG00000089289"	"OK"	"negbinomial.size"	2.69833209861535e-47	1.23556626795597e-44	"ENSG00000089289"	"IGBP1"	3712	TRUE
"ENSG00000198034"	"OK"	"negbinomial.size"	0	0	"ENSG00000198034"	"RPS4X"	12619	TRUE
"ENSG00000180964"	"OK"	"negbinomial.size"	5.77250312613536e-78	4.40538196909564e-75	"ENSG00000180964"	"TCEAL8"	5166	TRUE
"ENSG00000185222"	"OK"	"negbinomial.size"	3.49160491841866e-78	2.82142216260689e-75	"ENSG00000185222"	"WBP5"	5461	TRUE
"ENSG00000166681"	"OK"	"negbinomial.size"	8.58377397887893e-218	1.68450433068371e-214	"ENSG00000166681"	"NGFRAP1"	10459	TRUE
"ENSG00000077279"	"OK"	"negbinomial.size"	5.61108226555645e-57	2.96459373392111e-54	"ENSG00000077279"	"DCX"	1946	TRUE
"ENSG00000134590"	"OK"	"negbinomial.size"	1.2265606289755e-40	4.10957642932595e-38	"ENSG00000134590"	"FAM127A"	2985	FALSE
"ENSG00000147274"	"OK"	"negbinomial.size"	1.19423568127596e-115	1.49138323215344e-112	"ENSG00000147274"	"RBMX"	11925	TRUE
"ENSG00000104435"	"OK"	"negbinomial.size"	5.69472225955565e-45	2.44463748998488e-42	"ENSG00000104435"	"STMN2"	1663	TRUE
"ENSG00000177600"	"OK"	"negbinomial.size"	6.44988562981332e-64	3.6917532873644e-61	"ENSG00000177600"	"RPLP2"	12624	TRUE
"ENSG00000134333"	"OK"	"negbinomial.size"	4.25497563252498e-66	2.78336191733312e-63	"ENSG00000134333"	"LDHA"	3401	TRUE
"ENSG00000110492"	"OK"	"negbinomial.size"	1.1266569656467e-43	4.55202551090844e-41	"ENSG00000110492"	"MDK"	11065	TRUE
"ENSG00000251562"	"OK"	"negbinomial.size"	0	0	"ENSG00000251562"	"MALAT1"	12618	TRUE
"ENSG00000182667"	"OK"	"negbinomial.size"	4.80124086711667e-65	2.9979384450719e-62	"ENSG00000182667"	"NTM"	3569	TRUE
"ENSG00000089009"	"OK"	"negbinomial.size"	2.95362364448483e-132	4.50821422269868e-129	"ENSG00000089009"	"RPL6"	12623	TRUE
